english_name,iso_639_1,name
English,en,English
Italian,it,Italiano
Latin,la,Latin
Spanish,es,Español
Hindi,hi,हिन्दी
German,de,Deutsch
Polish,pl,Polski
Hebrew,he,עִבְרִית
Japanese,ja,日本語
Korean,ko,한국어/조선말
Mandarin,zh,普通话
French,fr,Français
Czech,cs,Český
Yiddish,yi,
Portuguese,pt,Português
Russian,ru,Pусский
Swahili,sw,Kiswahili
Esperanto,eo,Esperanto
No Language,xx,No Language
Belarusian,be,беларуская мова
Khmer,km,
Vietnamese,vi,Tiếng Việt
Turkish,tr,Türkçe
Xhosa,xh,
Irish,ga,Gaeilge
Northern Sami,se,
Swedish,sv,svenska
Quechua,qu,
Ukrainian,uk,Український
Indonesian,id,Bahasa indonesia
Arabic,ar,العربية
Cantonese,cn,广州话 / 廣州話
Hungarian,hu,Magyar
Georgian,ka,ქართული
Fulah,ff,Fulfulde
Finnish,fi,suomi
Tagalog,tl,
Haitian; Haitian Creole,ht,
Thai,th,ภาษาไทย
Urdu,ur,اردو
Afrikaans,af,Afrikaans
Zulu,zu,isiZulu
Sotho,st,
Greek,el,ελληνικά
Persian,fa,فارسی
Romanian,ro,Română
Norwegian,no,Norsk
Malay,ms,Bahasa melayu
Dutch,nl,Nederlands
Tamil,ta,தமிழ்
Somali,so,Somali
Tibetan,bo,
Samoan,sm,
